id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
53@Bony (Бони)@<div id="description" class="box js-box">  <table cellspacing="0" cellpadding="0">  <tbody>  <tr>  <td align="left" valign="top">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества.</p>  <p>Легкий, упругий матрас Bony, в производстве которого используются экологически чистые материалы: холлофайбер и кокосовая койра. Эти материалы отлично проветриваются, не впитывают запахи.<br />Рекомендуется детям до 20кг.</p>  </td>  </tr>  </tbody>  </table>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/kokos.png" alt="kokos" width="123" height="123" /></td>  <td align="left">  <p>&nbsp;</p>  <p>Холлофайбер и кокос обладают такими важнейшими для здоровья ребенка свойствами как антистатичность, антиаллергенность и антибактериальность.</p>  </td>  </tr>  </tbody>  </table>@@10@20 кг@жесткий@"беспружинный"@@http://www.lineaflex.ru/files/project_2016/good/1476464858_1_mini5.jpg@catalog>mattresses-children>linea-bambina
53@Bony (Бони)@@2863@@@@@60x120@@
53@Bony (Бони)@@3818@@@@@60x160@@
53@Bony (Бони)@@4533@@@@@60x190@@
53@Bony (Бони)@@4653@@@@@60x195@@
53@Bony (Бони)@@4772@@@@@60x200@@
53@Bony (Бони)@@3340@@@@@70x120@@
53@Bony (Бони)@@3897@@@@@70x140@@
53@Bony (Бони)@@4454@@@@@70x160@@
53@Bony (Бони)@@5289@@@@@70x190@@
53@Bony (Бони)@@5428@@@@@70x195@@
53@Bony (Бони)@@5567@@@@@70x200@@
53@Bony (Бони)@@5090@@@@@80x160@@
53@Bony (Бони)@@6045@@@@@80x190@@
53@Bony (Бони)@@6204@@@@@80x195@@
53@Bony (Бони)@@6363@@@@@80x200@@
53@Bony (Бони)@@5726@@@@@90x160@@
53@Bony (Бони)@@6800@@@@@90x190@@
53@Bony (Бони)@@6979@@@@@90x195@@
53@Bony (Бони)@@7158@@@@@90x200@@
53@Bony (Бони)@@7635@@@@@120x160@@
53@Bony (Бони)@@9067@@@@@120x190@@
53@Bony (Бони)@@9305@@@@@120x195@@
53@Bony (Бони)@@9544@@@@@120x200@@
53@Bony (Бони)@@8908@@@@@140x160@@
53@Bony (Бони)@@10578@@@@@140x190@@
53@Bony (Бони)@@10856@@@@@140x195@@
53@Bony (Бони)@@11135@@@@@140x200@@
54@Faby (Фаби)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества.&nbsp;</p>  <p>Матрас Faby на пружинном блоке Боннель. В качестве наполнителей используется кокосовая койра и холлофайбер, матрас является экологически чистым.<br />Рекомендуется детям до 50кг.<strong><br /></strong></p>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/bonnel.png" alt="bonnel" width="123" height="123" /></td>  <td align="left">В настоящее время пружинный блок Боннель &ndash; это система, состоящая из пятивитковых биконусных пружин диаметром 8 см из закаленной проволоки диаметром 2,2 мм. Плотность блока составляет 120 пр./м2. Между собой пружины соединены спиралями, которые обеспечивают относительную независимость пружин. В детских матрасах используется блок высотой 8см.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/kokos.png" alt="kokos" width="123" height="123" /></td>  <td align="left">Кокосовая койра уникальный материал растительного происхождения. Обладает такими важными свойствами как гигроскосопичность, антистатичность, антиаллергенность. Отлично вентилируется. В сочетании с пружинным блоком Боннель обеспечит ортопедтческую поддержку телу Вашего ребенка.</td>  </tr>  </tbody>  </table>@@12@50 кг@средняя@"зависимый"@@http://www.lineaflex.ru/files/project_2016/good/1352291580_1_mini5.jpg@catalog>mattresses-children>linea-bambina
54@Faby (Фаби)@@2863@@@@@60x120@@
54@Faby (Фаби)@@3818@@@@@60x160@@
